,make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,111.0,5000.0,21,27,13495.0
1,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,111.0,5000.0,21,27,16500.0
2,alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,154.0,5000.0,19,26,16500.0
3,audi,gas,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,102.0,5500.0,24,30,13950.0
4,audi,gas,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,115.0,5500.0,18,22,17450.0
5,audi,gas,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,110.0,5500.0,19,25,15250.0
6,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,110.0,5500.0,19,25,17710.0
7,audi,gas,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,110.0,5500.0,19,25,18920.0
8,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,140.0,5500.0,17,20,23875.0
9,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,101.0,5800.0,23,29,16430.0
10,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,101.0,5800.0,23,29,16925.0
11,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,121.0,4250.0,21,28,20970.0
12,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,121.0,4250.0,21,28,21105.0
13,bmw,gas,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,121.0,4250.0,20,25,24565.0
14,bmw,gas,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,182.0,5400.0,16,22,30760.0
15,bmw,gas,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,182.0,5400.0,16,22,41315.0
16,bmw,gas,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,182.0,5400.0,15,20,36880.0
17,chevrolet,gas,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,48.0,5100.0,47,53,5151.0
18,chevrolet,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,70.0,5400.0,38,43,6295.0
19,chevrolet,gas,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,70.0,5400.0,38,43,6575.0
20,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,68.0,5500.0,37,41,5572.0
21,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,68.0,5500.0,31,38,6377.0
22,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,102.0,5500.0,24,30,7957.0
23,dodge,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,68.0,5500.0,31,38,6229.0
24,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,68.0,5500.0,31,38,6692.0
25,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,68.0,5500.0,31,38,7609.0
26,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,102.0,5500.0,24,30,8558.0
27,dodge,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,88.0,5000.0,24,30,8921.0
28,dodge,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,145.0,5000.0,19,24,12964.0
29,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,58.0,4800.0,49,54,6479.0
30,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,76.0,6000.0,31,38,6855.0
31,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,60.0,5500.0,38,42,5399.0
32,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,76.0,6000.0,30,34,6529.0
33,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,76.0,6000.0,30,34,7129.0
34,honda,gas,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,76.0,6000.0,30,34,7295.0
35,honda,gas,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,76.0,6000.0,30,34,7295.0
36,honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,86.0,5800.0,27,33,7895.0
37,honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,86.0,5800.0,27,33,9095.0
38,honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,86.0,5800.0,27,33,8845.0
39,honda,gas,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,86.0,5800.0,27,33,10295.0
40,honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,101.0,5800.0,24,28,12945.0
41,honda,gas,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,100.0,5500.0,25,31,10345.0
42,isuzu,gas,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,78.0,4800.0,24,29,6785.0
43,isuzu,gas,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,3.43,3.23,90.0,5000.0,24,29,11048.0
44,jaguar,gas,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,176.0,4750.0,15,19,32250.0
45,jaguar,gas,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,176.0,4750.0,15,19,35550.0
46,jaguar,gas,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,326,3.54,2.76,262.0,5000.0,13,17,36000.0
47,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,68.0,5000.0,30,31,5195.0
48,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,68.0,5000.0,31,38,6095.0
49,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,68.0,5000.0,31,38,6795.0
50,mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,68.0,5000.0,31,38,6695.0
51,mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,68.0,5000.0,31,38,7395.0
52,mazda,gas,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,3.330710659898477,3.256903553299492,101.0,6000.0,17,23,10945.0
53,mazda,gas,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,3.330710659898477,3.256903553299492,101.0,6000.0,17,23,11845.0
54,mazda,gas,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,3.330710659898477,3.256903553299492,101.0,6000.0,17,23,13645.0
55,mazda,gas,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,80,3.330710659898477,3.256903553299492,135.0,6000.0,16,23,15645.0
56,mazda,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,84.0,4800.0,26,32,8845.0
57,mazda,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,84.0,4800.0,26,32,8495.0
58,mazda,gas,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,84.0,4800.0,26,32,10595.0
59,mazda,gas,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,84.0,4800.0,26,32,10245.0
60,mazda,diesel,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,64.0,4650.0,36,42,10795.0
61,mazda,gas,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,84.0,4800.0,26,32,11245.0
62,mazda,gas,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,120.0,5000.0,19,27,18280.0
63,mazda,diesel,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,134,3.43,3.64,72.0,4200.0,31,39,18344.0
64,mercedes-benz,diesel,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,123.0,4350.0,22,25,25552.0
65,mercedes-benz,diesel,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,123.0,4350.0,22,25,28248.0
66,mercedes-benz,diesel,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,123.0,4350.0,22,25,28176.0
67,mercedes-benz,diesel,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,123.0,4350.0,22,25,31600.0
68,mercedes-benz,gas,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,155.0,4750.0,16,18,34184.0
69,mercedes-benz,gas,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,155.0,4750.0,16,18,35056.0
70,mercedes-benz,gas,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,184.0,4500.0,14,16,40960.0
71,mercedes-benz,gas,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,184.0,4500.0,14,16,45400.0
72,mercury,gas,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,175.0,5000.0,19,24,16503.0
73,mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,68.0,5500.0,37,41,5389.0
74,mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,68.0,5500.0,31,38,6189.0
75,mitsubishi,gas,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,68.0,5500.0,31,38,6669.0
76,mitsubishi,gas,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,102.0,5500.0,24,30,7689.0
77,mitsubishi,gas,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,116.0,5500.0,23,30,9959.0
78,mitsubishi,gas,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,88.0,5000.0,25,32,8499.0
79,mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,145.0,5000.0,19,24,12629.0
80,mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,145.0,5000.0,19,24,14869.0
81,mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,145.0,5000.0,19,24,14489.0
82,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,88.0,5000.0,25,32,6989.0
83,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,88.0,5000.0,25,32,8189.0
84,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,116.0,5500.0,23,30,9279.0
85,mitsubishi,gas,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,116.0,5500.0,23,30,9279.0
86,nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,69.0,5200.0,31,37,5499.0
87,nissan,diesel,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,55.0,4800.0,45,50,7099.0
88,nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,69.0,5200.0,31,37,6649.0
89,nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,69.0,5200.0,31,37,6849.0
90,nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,69.0,5200.0,31,37,7349.0
91,nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,69.0,5200.0,31,37,7299.0
92,nissan,gas,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,69.0,5200.0,31,37,7799.0
93,nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,69.0,5200.0,31,37,7499.0
94,nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,69.0,5200.0,31,37,7999.0
95,nissan,gas,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,69.0,5200.0,31,37,8249.0
96,nissan,gas,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,97.0,5200.0,27,34,8949.0
97,nissan,gas,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,97.0,5200.0,27,34,9549.0
98,nissan,gas,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,152.0,5200.0,17,22,13499.0
99,nissan,gas,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,152.0,5200.0,17,22,14399.0
100,nissan,gas,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,152.0,5200.0,19,25,13499.0
101,nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,160.0,5200.0,19,25,17199.0
102,nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,200.0,5200.0,17,23,19699.0
103,nissan,gas,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,160.0,5200.0,19,25,18399.0
104,peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,97.0,5000.0,19,24,11900.0
105,peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,95.0,4150.0,28,33,13200.0
106,peugot,gas,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,97.0,5000.0,19,24,12440.0
107,peugot,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,95.0,4150.0,25,25,13860.0
108,peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,95.0,5000.0,19,24,15580.0
109,peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,95.0,4150.0,28,33,16900.0
110,peugot,gas,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,95.0,5000.0,19,24,16695.0
111,peugot,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,95.0,4150.0,25,25,17075.0
112,peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,97.0,5000.0,19,24,16630.0
113,peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,95.0,4150.0,28,33,17950.0
114,peugot,gas,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,142.0,5600.0,18,24,18150.0
115,plymouth,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,68.0,5500.0,37,41,5572.0
116,plymouth,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,102.0,5500.0,24,30,7957.0
117,plymouth,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,68.0,5500.0,31,38,6229.0
118,plymouth,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,68.0,5500.0,31,38,6692.0
119,plymouth,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,68.0,5500.0,31,38,7609.0
120,plymouth,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,88.0,5000.0,24,30,8921.0
121,plymouth,gas,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,145.0,5000.0,19,24,12764.0
122,porsche,gas,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,143.0,5500.0,19,27,22018.0
123,porsche,gas,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,207.0,5900.0,17,25,32528.0
124,porsche,gas,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,207.0,5900.0,17,25,34028.0
125,porsche,gas,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,194,3.74,2.9,207.0,5900.0,17,25,37028.0
126,renault,gas,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,103.39698492462311,5117.587939698493,23,31,9295.0
127,renault,gas,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,103.39698492462311,5117.587939698493,23,31,9895.0
128,saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,110.0,5250.0,21,28,11850.0
129,saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,110.0,5250.0,21,28,12170.0
130,saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,110.0,5250.0,21,28,15040.0
131,saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,110.0,5250.0,21,28,15510.0
132,saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,160.0,5500.0,19,26,18150.0
133,saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,160.0,5500.0,19,26,18620.0
134,subaru,gas,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,69.0,4900.0,31,36,5118.0
135,subaru,gas,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,73.0,4400.0,26,31,7053.0
136,subaru,gas,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,73.0,4400.0,26,31,7603.0
137,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,82.0,4800.0,32,37,7126.0
138,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,82.0,4400.0,28,33,7775.0
139,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,94.0,5200.0,26,32,9960.0
140,subaru,gas,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,82.0,4800.0,24,25,9233.0
141,subaru,gas,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,111.0,4800.0,24,29,11259.0
142,subaru,gas,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,82.0,4800.0,28,32,7463.0
143,subaru,gas,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,94.0,5200.0,25,31,10198.0
144,subaru,gas,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,82.0,4800.0,23,29,8013.0
145,subaru,gas,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,111.0,4800.0,23,23,11694.0
146,toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,62.0,4800.0,35,39,5348.0
147,toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,62.0,4800.0,31,38,6338.0
148,toyota,gas,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,62.0,4800.0,31,38,6488.0
149,toyota,gas,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,62.0,4800.0,31,37,6918.0
150,toyota,gas,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,62.0,4800.0,27,32,7898.0
151,toyota,gas,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,62.0,4800.0,27,32,8778.0
152,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,98,3.19,3.03,70.0,4800.0,30,37,6938.0
153,toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,70.0,4800.0,30,37,7198.0
154,toyota,diesel,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,110,3.27,3.35,56.0,4500.0,34,36,7898.0
155,toyota,diesel,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,56.0,4500.0,38,47,7788.0
156,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,70.0,4800.0,38,47,7738.0
157,toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,70.0,4800.0,28,34,8358.0
158,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,70.0,4800.0,28,34,9258.0
159,toyota,gas,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,70.0,4800.0,29,34,8058.0
160,toyota,gas,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,98,3.19,3.03,70.0,4800.0,29,34,8238.0
161,toyota,gas,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,112.0,6600.0,26,29,9298.0
162,toyota,gas,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,112.0,6600.0,26,29,9538.0
163,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,146,3.62,3.5,116.0,4800.0,24,30,8449.0
164,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,146,3.62,3.5,116.0,4800.0,24,30,9639.0
165,toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,116.0,4800.0,24,30,9989.0
166,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,116.0,4800.0,24,30,11199.0
167,toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,146,3.62,3.5,116.0,4800.0,24,30,11549.0
168,toyota,gas,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,116.0,4800.0,24,30,17669.0
169,toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,92.0,4200.0,29,34,8948.0
170,toyota,diesel,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,73.0,4500.0,30,33,10698.0
171,toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,92.0,4200.0,27,32,9988.0
172,toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,92.0,4200.0,27,32,10898.0
173,toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,92.0,4200.0,27,32,11248.0
174,toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,171,3.27,3.35,161.0,5200.0,20,24,16558.0
175,toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,161.0,5200.0,19,24,15998.0
176,toyota,gas,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,156.0,5200.0,20,24,15690.0
177,toyota,gas,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,156.0,5200.0,19,24,15750.0
178,volkswagen,diesel,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,52.0,4800.0,37,46,7775.0
179,volkswagen,gas,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,85.0,5250.0,27,34,7975.0
180,volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,52.0,4800.0,37,46,7995.0
181,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,85.0,5250.0,27,34,8195.0
182,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,85.0,5250.0,27,34,8495.0
183,volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,68.0,4500.0,37,42,9495.0
184,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,100.0,5500.0,26,32,9995.0
185,volkswagen,gas,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,90.0,5500.0,24,29,11595.0
186,volkswagen,gas,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,90.0,5500.0,24,29,9980.0
187,volkswagen,gas,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,110.0,5500.0,19,24,13295.0
188,volkswagen,diesel,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,68.0,4500.0,33,38,13845.0
189,volkswagen,gas,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,88.0,5500.0,25,31,12290.0
190,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,114.0,5400.0,23,28,12940.0
191,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,114.0,5400.0,23,28,13415.0
192,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,114.0,5400.0,24,28,15985.0
193,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,114.0,5400.0,24,28,16515.0
194,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,162.0,5100.0,17,22,18420.0
195,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,162.0,5100.0,17,22,18950.0
196,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,114.0,5400.0,23,28,16845.0
197,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,160.0,5300.0,19,25,19045.0
198,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,134.0,5500.0,18,23,21485.0
199,volvo,diesel,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,106.0,4800.0,26,27,22470.0
200,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,114.0,5400.0,19,25,22625.0
